dataset,model_without_regularization_all_features,xgb_all_features,model_with_regularization_all_features,model_without_regularization_partial,xgb_partial_features_mean,xgb_partial_features_nan,model_with_regularization_partial
Spam,0.9824561476707458,0.956140350877193,0.9824561476707458,0.978 +- 0.006,0.959 +- 0.012,0.959 +- 0.012,0.976 +- 0.006
Iris,0.9666666388511658,0.9333333333333333,0.9333333373069763,0.808 +- 0.138,0.742 +- 0.277,0.742 +- 0.277,0.85 +- 0.087
Banknote,1.0,0.9963636363636363,0.9636363387107849,0.838 +- 0.102,0.794 +- 0.212,0.794 +- 0.212,0.9 +- 0.058
Accent,0.7121211886405945,0.7424242424242424,0.6969696879386902,0.691 +- 0.047,0.665 +- 0.098,0.665 +- 0.098,0.734 +- 0.039
Wine,0.5673469305038452,0.6571428571428571,0.5744897723197937,0.547 +- 0.011,0.579 +- 0.039,0.579 +- 0.039,0.558 +- 0.009
Credit,0.812333345413208,0.8043333333333333,0.8133333325386047,0.811 +- 0.006,0.799 +- 0.009,0.799 +- 0.009,0.812 +- 0.005
Wifi,0.987500011920929,0.9825,0.9775000214576721,0.92 +- 0.095,0.88 +- 0.15,0.88 +- 0.15,0.966 +- 0.015
Ecoli,0.75,0.7794117647058824,0.6176470518112183,0.687 +- 0.053,0.666 +- 0.119,0.666 +- 0.119,0.603 +- 0.026
Sonar,0.8809523582458496,0.8333333333333334,0.8809523582458496,0.875 +- 0.016,0.828 +- 0.021,0.828 +- 0.021,0.881 +- 0.015
Breast,0.9736841917037964,0.956140350877193,0.9736841917037964,0.972 +- 0.005,0.959 +- 0.012,0.959 +- 0.012,0.971 +- 0.004
HTRU2,0.9787709712982178,0.9779329608938547,0.9793295860290527,0.969 +- 0.022,0.968 +- 0.021,0.968 +- 0.021,0.978 +- 0.0
Parkinson,0.9230769276618958,0.9487179487179487,0.8974359035491943,0.906 +- 0.032,0.937 +- 0.026,0.937 +- 0.026,0.886 +- 0.026
dfcn_data,0.8278688788414001,0.8360655737704918,0.8422130942344666,0.833 +- 0.01,0.823 +- 0.022,0.823 +- 0.022,0.841 +- 0.008
Ecoli,0.6323529481887817,0.609 +- 0.039
Accent,0.6969696879386902,0.691 +- 0.035
Iris,0.9333333373069763,0.808 +- 0.119
