dataset,model_without_regularization_all_features,model_without_regularization_partial,xgb_all_features,xgb_partial_features,model_with_regularization_all_features,model_with_regularization_partial
Spam,0.9736841917037964,0.973 +- 0.004,0.956140350877193,0.959 +- 0.012,0.9824561476707458,0.976 +- 0.007
Iris,0.9666666388511658,0.8 +- 0.131,0.9333333333333333,0.742 +- 0.277,0.9333333373069763,0.825 +- 0.104
Banknote,1.0,0.812 +- 0.106,0.9963636363636363,0.794 +- 0.212,0.9672726988792419,0.893 +- 0.05
Accent,0.7121211886405945,0.667 +- 0.045,0.7424242424242424,0.665 +- 0.098,0.7121211886405945,0.706 +- 0.039
Wine,0.5836734771728516,0.56 +- 0.016,0.6571428571428571,0.579 +- 0.039,0.5602040886878967,0.55 +- 0.01
Credit,0.812666654586792,0.811 +- 0.007,0.8043333333333333,0.799 +- 0.009,0.809499979019165,0.81 +- 0.003
Wifi,0.9825000166893005,0.928 +- 0.076,0.9825,0.88 +- 0.15,0.9825000166893005,0.969 +- 0.015
Ecoli,0.7058823704719543,0.668 +- 0.04,0.7794117647058824,0.666 +- 0.119,0.6617646813392639,0.628 +- 0.022
Sonar,0.8809523582458496,0.89 +- 0.011,0.8333333333333334,0.828 +- 0.021,0.8809523582458496,0.878 +- 0.015
Breast,0.9736841917037964,0.971 +- 0.005,0.956140350877193,0.959 +- 0.012,0.9824561476707458,0.976 +- 0.007
HTRU2,0.9784916043281555,0.97 +- 0.022,0.9779329608938547,0.968 +- 0.021,0.9776536226272583,0.977 +- 0.001
Parkinson,0.9487179517745972,0.903 +- 0.041,0.9487179487179487,0.937 +- 0.026,0.9230769276618958,0.922 +- 0.021
